sentence,snippets,target,sentiment_score,aspects,format,label
Amazon has been selling surveillance cameras infected with malware $AMZN #Amazon  https://t.co/TohLEQ8FK6 https://t.co/5PR4cBtVVy,['selling surveillance cameras infected with malware'],AMZN,-0.186,['Corporate/Risks/Product Flaws'],post,Neutral
Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets $TSCO https://t.co/BmvhcrwREA,['Stocks Rally'],TSCO,0.248,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
$BBRY lets see 14+ today,['lets see 14+ today'],BBRY,0.302,['Stock/Price Action/Future Price/Direction'],post,Positive
what is up with $HK..... from Jan to now it's been a sinking ship...,"[""it's been a sinking ship""]",HK,-0.573,['Stock/Price Action/Bearish'],post,Negative
$YHOO A breakout above $29.83 would constitute a technical entry for the short term trader. http://stks.co/jkUF,['breakout above $29.83 would constitute a technical entry'],YHOO,0.389,['Stock/Technical Analysis'],post,Positive
"$P bull flag on the daily, earnings on the table tomorrow +/-12 move.Will straddle this one into earnings..lots of vol guaranteed here",['bull flag on the daily'],P,0.335,['Stock/Price Action/Bullish'],post,Positive
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,['Reports 37 Percent Drop in 2Q Earnings'],Berkshire Hathaway Inc.,-0.566,['Corporate/Company Communication'],headline,Negative
$HRL ready to pop! http://stks.co/s0Ny4,['ready to pop!'],HRL,0.336,['Stock/Price Action/Bullish'],post,Positive
"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS","['Voluntary recall of 2,700 Model X vehicles']",TSLA,-0.327,['Corporate/Risks/Product Recall'],post,Negative
Tesla issues its first Model X recall https://t.co/t1kMqVwhQQ $TSLA,['first Model X recall'],TSLA,-0.287,['Corporate/Risks/Product Recall'],post,Neutral
BHP Billiton share price: Brazil to sue Samarco for ÃÂ£3.5bn,['Brazil to sue Samarco for ÃÂ£3.5bn'],Samarco,-0.637,['Corporate/Legal/Lawsuit'],headline,Negative
$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,['chart rolling over'],SPY,-0.287,['Stock/Technical Analysis'],post,Neutral
$FB $AAPL $NKE $JWN bearish charts keep getting worse.,['bearish charts keep getting worse.'],NKE,-0.619,['Stock/Technical Analysis'],post,Negative
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz","['recalls 2,700 Model X SUVs']",TSLA,-0.367,['Corporate/Risks/Product Recall'],post,Negative
$PCLN Trying to break daily trend line! Big move could happen https://t.co/gY0aDb2jsQ https://t.co/KPBBCgQ2xy,['Trying to break daily trend line'],PCLN,0.485,['Stock/Price Action'],post,Positive
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",['3 must-have growth stocks?'],ASOS plc,0.0,['Corporate/Rumors/Scoop'],headline,Neutral
$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,['{Head&Shoulders} bullish reversal setup and breakout'],USO,0.253,['Stock/Technical Analysis'],post,Neutral
$AAPL iPhone shipments on track to exceed forecasts - MarketWatch https://t.co/2CXahJIX7d,['shipments on track to exceed forecasts'],AAPL,0.367,['Corporate/Sales'],post,Positive
@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,['possible double bottom set up'],GLD,0.272,['Stock/Technical Analysis'],post,Neutral
Sanofi poaches AstraZeneca scientist as new research head,['Sanofi poaches AstraZeneca scientist'],Sanofi,0.066,['Corporate/Appointment/Executive Appointment'],headline,Neutral
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,['Another attempt to break out'],AAPL,0.138,['Stock/Price Action'],post,Neutral
Commented on It's Time To Embrace Dividend Growth https://t.co/wc2qfP79TN $ABBV $CSCO $WYN,['Embrace Dividend Growth'],WYN,0.284,['Corporate/Dividend Policy'],post,Neutral
"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",['A close over 24.18 is bullish'],SPY,0.361,['Stock/Price Action'],post,Positive
